replay_file,game_length_s,map_name,p1_race,p2_race,winner,p1_minerals_current_5min,p1_vespene_current_5min,p1_minerals_collection_rate_5min,p1_vespene_collection_rate_5min,p1_workers_active_5min,p1_army_supply_5min,p1_minerals_current_10min,p1_vespene_current_10min,p1_minerals_collection_rate_10min,p1_vespene_collection_rate_10min,p1_workers_active_10min,p1_army_supply_10min,p1_minerals_total,p1_vespene_total,p2_minerals_current_5min,p2_vespene_current_5min,p2_minerals_collection_rate_5min,p2_vespene_collection_rate_5min,p2_workers_active_5min,p2_army_supply_5min,p2_minerals_current_10min,p2_vespene_current_10min,p2_minerals_collection_rate_10min,p2_vespene_collection_rate_10min,p2_workers_active_10min,p2_army_supply_10min,p2_minerals_total,p2_vespene_total
10000 Feet LE.SC2Replay,470,10000 Feet LE,Terran,Protoss,2.0,380.0,131.0,1091.0,335.0,27.0,7.0,392.0,62.0,1875.0,470.0,43.0,33.0,9113.25,1939.0,395.0,139.0,1511.0,313.0,34.0,7.0,495.0,133.0,2435.0,470.0,54.0,22.0,10191.25,1894.5
[PvP] - [BASKGG]trigger vs Harstem - 10000 Feet LE - 2026-02-25 12_57_57.SC2Replay,455,10000 Feet LE,Protoss,Protoss,1.0,163.0,93.0,1007.0,313.0,27.0,8.0,68.0,135.0,1147.0,313.0,25.0,36.0,7321.25,1854.75,115.0,154.0,1035.0,313.0,23.0,11.0,335.0,88.0,1063.0,291.0,25.0,36.0,7440.25,1882.75
[PvP] - [BASKGG]trigger vs Harstem - Winter Madness LE - 2026-02-25 13_07_47.SC2Replay,507,Winter Madness LE,Protoss,Protoss,1.0,85.0,80.0,979.0,313.0,24.0,14.0,130.0,117.0,1007.0,335.0,24.0,35.0,7551.75,2027.75,340.0,250.0,979.0,313.0,23.0,15.0,65.0,75.0,839.0,335.0,22.0,44.0,7635.75,2039.75
[PvP] - [EGD]goblin vs [SBаlls]Shameless - White Rabbit LE - 2026-03-11 13_00_57.SC2Replay,889,White Rabbit LE,Protoss,Protoss,1.0,270.0,122.0,1007.0,335.0,30.0,11.0,95.0,212.0,2659.0,470.0,60.0,38.0,13353.25,2811.0,205.0,172.0,1007.0,313.0,29.0,11.0,535.0,297.0,2659.0,470.0,59.0,45.0,13465.25,2868.0
[PvP] - [EGD]ShoWTimE vs [SYDE]Krystianer - Ruby Rock LE - 2026-02-19 12_41_47.SC2Replay,645,Ruby Rock LE,Protoss,Protoss,2.0,300.0,142.0,1119.0,313.0,30.0,11.0,365.0,163.0,2463.0,492.0,53.0,35.0,13318.25,2873.0,185.0,170.0,1007.0,335.0,28.0,11.0,288.0,194.0,2771.0,492.0,60.0,37.0,13577.25,2804.5
[PvP] - [EGD]ShoWTimE vs [SYDE]Krystianer - Winter Madness LE - 2026-02-19 12_53_19.SC2Replay,598,Winter Madness LE,Protoss,Protoss,2.0,113.0,141.0,1007.0,313.0,28.0,11.0,56.0,287.0,1791.0,447.0,40.0,21.0,11106.25,2357.25,140.0,412.0,923.0,335.0,22.0,11.0,60.0,102.0,1539.0,604.0,37.0,31.0,11183.25,2789.0
[PvP] - [Heroes]ArT vs [Lіquіd]SKillous - 10000 Feet LE - 2026-03-18 19_40_24.SC2Replay,690,10000 Feet LE,Protoss,Protoss,2.0,320.0,204.0,1063.0,313.0,30.0,8.0,165.0,261.0,2771.0,492.0,60.0,45.0,13297.25,2951.0,150.0,142.0,1119.0,313.0,29.0,9.0,650.0,297.0,2855.0,492.0,59.0,47.0,13724.25,2839.0
[PvP] - [Heroes]ArT vs [SBаlls]Shameless - Taito Citadel LE - 2026-03-14 13_50_27.SC2Replay,348,Taito Citadel LE,Protoss,Protoss,2.0,120.0,162.0,1007.0,335.0,28.0,11.0,80.0,44.0,1315.0,335.0,30.0,20.0,5307.25,1290.75,55.0,50.0,951.0,313.0,22.0,16.0,100.0,32.0,923.0,313.0,22.0,24.0,5167.25,1273.75
[PvP] - [ONSYDE]Krystianer vs [RBLN]Harstem - Taito Citadel LE - 2026-03-12 14_00_36.SC2Replay,759,Taito Citadel LE,Protoss,Protoss,2.0,83.0,25.0,867.0,291.0,26.0,9.0,453.0,471.0,1623.0,604.0,46.0,32.0,11470.25,3046.5,210.0,262.0,1231.0,313.0,30.0,8.0,65.0,218.0,1707.0,403.0,48.0,39.0,11393.25,2290.25
[PvP] - [PSISTM]MaxPax vs Classic - Mothership LE - 2026-02-16 15_24_38.SC2Replay,308,Mothership LE,Protoss,Protoss,1.0,195.0,221.0,1259.0,313.0,29.0,8.0,95.0,191.0,1259.0,313.0,29.0,10.0,4957.75,938.75,220.0,384.0,839.0,313.0,23.0,10.0,140.0,350.0,839.0,335.0,23.0,16.0,4404.75,1056.25
[PvP] - [PSISTM]MaxPax vs Classic - Winter Madness LE - 2026-02-16 15_18_28.SC2Replay,543,Winter Madness LE,Protoss,Protoss,1.0,80.0,117.0,923.0,335.0,25.0,11.0,230.0,69.0,923.0,268.0,22.0,27.0,8635.75,2291.0,205.0,358.0,979.0,335.0,24.0,12.0,95.0,106.0,699.0,313.0,27.0,34.0,7767.75,2303.25
[PvP] - [PSISTM]MaxPax vs herO - Ruby Rock LE - 2026-03-08 14_34_34.SC2Replay,410,Ruby Rock LE,Protoss,Protoss,2.0,85.0,84.0,895.0,335.0,22.0,18.0,270.0,69.0,923.0,313.0,22.0,19.0,5950.25,1564.25,175.0,149.0,1175.0,313.0,29.0,10.0,315.0,71.0,1175.0,358.0,28.0,18.0,6979.25,1453.0
