iter	Logloss
0	0.6901662269
1	0.6876465481
2	0.6852671439
3	0.6828127983
4	0.6806293514
5	0.6787109825
6	0.6769504605
7	0.6752997187
8	0.6736157835
9	0.6720988122
10	0.6705818652
11	0.6692908474
12	0.6679867582
13	0.6667781271
14	0.6658374157
15	0.6648939119
16	0.6639774263
17	0.6630729143
18	0.662217029
19	0.6614058964
20	0.660748303
21	0.6602089748
22	0.6595454183
23	0.6589316866
24	0.6583888275
25	0.657835612
26	0.6573009045
27	0.656780029
28	0.6563298632
29	0.6558233496
30	0.6553903553
31	0.6549552671
32	0.6546186124
33	0.6542509495
34	0.6539576516
35	0.6535971023
36	0.6533009889
37	0.6529504962
38	0.6526647676
39	0.6524089604
40	0.6521499582
41	0.6519458507
42	0.651708346
43	0.6514271028
44	0.651191277
45	0.6509381292
46	0.6506569409
47	0.6504033482
48	0.6501441536
49	0.649937231
50	0.6497498797
51	0.649600311
52	0.6493768872
53	0.6491012333
54	0.6488434006
55	0.6486646006
56	0.6484230958
57	0.6482091042
58	0.6479677976
59	0.6478393516
60	0.6476045875
61	0.6474482256
62	0.6472044335
63	0.6470397917
64	0.6468177376
65	0.646614965
66	0.646436052
67	0.6462892736
68	0.6461541437
69	0.6460301509
70	0.6457913574
71	0.6456612764
72	0.6455075346
73	0.6453661619
74	0.6452425177
75	0.6450166148
76	0.6448168362
77	0.6446696518
78	0.6445347167
79	0.644368062
80	0.6442374909
81	0.6440968738
82	0.6439490713
83	0.6438357583
84	0.6437466409
85	0.6436381399
86	0.6434872917
87	0.6433942091
88	0.6433264286
89	0.6431132899
90	0.6430338869
91	0.6429121422
92	0.6427873825
93	0.6426956444
94	0.6425889235
95	0.6424869917
96	0.642386175
97	0.6422921226
98	0.6422085968
99	0.6421065296
100	0.6419964126
101	0.6419146606
102	0.6417658631
103	0.6416695553
104	0.6415185164
105	0.6414422128
106	0.6413147804
107	0.6412082239
108	0.641129523
109	0.6410687969
110	0.6409722506
111	0.6408726514
112	0.6407651451
113	0.6406656366
114	0.6405937139
115	0.640454793
116	0.6403955787
117	0.6402589892
118	0.6401858672
119	0.6400547248
120	0.6399458226
121	0.6398810053
122	0.6397596753
123	0.6396877332
124	0.6396282167
125	0.6395389195
126	0.6394076317
127	0.6392878688
128	0.6392138129
129	0.6391137143
130	0.6390493013
131	0.6389685119
132	0.6388948446
133	0.6387975199
134	0.6387212939
135	0.6386451135
136	0.6385823985
137	0.6384761864
138	0.638443397
139	0.6383774968
140	0.6383009895
141	0.6382210224
142	0.6381486804
143	0.6381199547
144	0.6380640325
145	0.6380137794
146	0.6379200786
147	0.6378071032
148	0.6377271779
149	0.6376346568
150	0.6375601873
151	0.6375025984
152	0.6374446425
153	0.6373949974
154	0.6373379756
155	0.6372606373
156	0.6371829362
157	0.6371419934
158	0.6370930572
159	0.6370085755
160	0.6369166183
161	0.6368497055
162	0.6367878279
163	0.6367055908
164	0.6365818626
165	0.6365197897
166	0.636477174
167	0.6364287056
168	0.6363930241
169	0.6363210978
170	0.6362701309
171	0.6362004344
172	0.6361815812
173	0.636081779
174	0.63604777
175	0.6359381696
176	0.6358323139
177	0.6357603937
178	0.6357028067
179	0.6356440545
180	0.6356144229
181	0.6355796651
182	0.6355241945
183	0.63547241
184	0.6354293148
185	0.6353979257
186	0.6353649846
187	0.6352991182
188	0.6352526445
189	0.6352025916
190	0.6351610828
191	0.6351032311
192	0.6350681095
193	0.6350181539
194	0.6349378616
195	0.6348894835
196	0.6348434571
197	0.6348100664
198	0.6347406137
199	0.6346722217
200	0.6345936522
201	0.6345438733
202	0.6344998561
203	0.6344271923
204	0.6343893922
205	0.6343526271
206	0.6343061587
207	0.6342790959
208	0.6342081495
209	0.63413542
210	0.6340944919
211	0.6340504669
212	0.634003897
213	0.6339529932
214	0.6338858343
215	0.633838803
216	0.6338048114
217	0.6337294774
218	0.633673148
219	0.6336176151
220	0.6335507688
221	0.6335017634
222	0.6334458613
223	0.633384475
224	0.6333179465
225	0.6332554935
226	0.6331999083
227	0.6331482219
228	0.6331069562
229	0.6330784409
230	0.6330144071
231	0.6329796324
232	0.6329185734
233	0.6328821427
234	0.6328508168
235	0.632810811
236	0.632736344
237	0.6326946018
238	0.6326539976
239	0.6325995704
240	0.6325528547
241	0.6325062818
242	0.6324313784
243	0.6323826557
244	0.6323285103
245	0.632280948
246	0.6322435607
247	0.6321845746
248	0.632123464
249	0.6320734844
250	0.6320189645
251	0.6319865502
252	0.6319409438
253	0.6318909068
254	0.6318169952
255	0.6317833738
256	0.6317212051
257	0.6316615356
258	0.6315927392
259	0.6315380228
260	0.6314780819
261	0.631417699
262	0.6313562079
263	0.6312873447
264	0.6312428368
265	0.6312048572
266	0.6311744621
267	0.6311290507
268	0.6310915405
269	0.6310519651
270	0.6309917092
271	0.6309549271
272	0.6308885064
273	0.6308544344
274	0.6307785109
275	0.6307220335
276	0.6306593281
277	0.6305928298
278	0.6305500398
279	0.630485008
280	0.6304388766
281	0.6303917481
282	0.6303156597
283	0.6302861696
284	0.6302419651
285	0.6301919935
286	0.6301423976
287	0.6301337252
288	0.6300797188
289	0.6300434476
290	0.6299795823
291	0.629918789
292	0.6298526359
293	0.6297782448
294	0.6297477914
295	0.6296838422
296	0.6296374066
297	0.6296099886
298	0.6295501056
299	0.6294875612
