iter	Passed	Remaining
0	147	44200
1	151	22567
2	154	15338
3	159	11792
4	163	9639
5	167	8207
6	171	7186
7	175	6390
8	178	5782
9	182	5292
10	186	4891
11	189	4552
12	193	4263
13	196	4017
14	200	3801
15	203	3615
16	207	3448
17	211	3308
18	215	3183
19	219	3067
20	223	2963
21	226	2864
22	230	2770
23	234	2696
24	237	2617
25	241	2541
26	245	2477
27	248	2414
28	252	2356
29	255	2300
30	259	2250
31	263	2209
32	267	2161
33	270	2115
34	274	2077
35	278	2038
36	281	2002
37	285	1967
38	288	1932
39	293	1905
40	296	1873
41	300	1844
42	304	1817
43	308	1794
44	312	1771
45	316	1748
46	320	1725
47	324	1705
48	328	1682
49	332	1663
50	336	1640
51	339	1619
52	343	1599
53	346	1580
54	350	1560
55	353	1541
56	357	1524
57	361	1506
58	364	1488
59	367	1471
60	371	1457
61	375	1442
62	379	1428
63	383	1415
64	388	1406
65	393	1394
66	397	1382
67	401	1370
68	405	1357
69	409	1346
70	414	1335
71	419	1326
72	423	1316
73	428	1308
74	433	1300
75	437	1289
76	442	1281
77	446	1270
78	450	1259
79	453	1248
80	457	1236
81	461	1225
82	464	1215
83	468	1205
84	472	1195
85	476	1185
86	480	1176
87	483	1165
88	487	1155
89	491	1146
90	494	1136
91	498	1127
92	502	1118
93	506	1109
94	509	1099
95	513	1091
96	517	1082
97	521	1075
98	525	1066
99	529	1058
100	532	1049
101	536	1041
102	539	1032
103	543	1024
104	547	1016
105	552	1011
106	557	1005
107	561	998
108	567	994
109	572	989
110	576	982
111	581	975
112	585	969
113	590	963
114	594	956
115	599	951
116	603	944
117	608	938
118	612	931
119	617	925
120	622	920
121	626	914
122	631	908
123	636	902
124	640	896
125	644	890
126	648	883
127	652	877
128	657	871
129	661	864
130	665	858
131	669	852
132	674	846
133	677	839
134	681	832
135	686	827
136	690	821
137	694	815
138	698	809
139	702	803
140	706	796
141	710	790
142	714	784
143	718	777
144	721	771
145	725	765
146	730	759
147	734	754
148	737	747
149	741	741
150	746	736
151	749	730
152	754	724
153	758	719
154	762	713
155	766	707
156	769	701
157	773	695
158	777	689
159	781	683
160	785	677
161	789	672
162	793	667
163	797	661
164	801	655
165	804	649
166	808	643
167	811	637
168	815	631
169	818	625
170	822	620
171	826	615
172	830	609
173	834	604
174	838	598
175	841	593
176	845	587
177	849	582
178	853	577
179	857	571
180	861	566
181	864	560
182	869	555
183	872	550
184	876	544
185	880	539
186	883	534
187	887	528
188	891	523
189	895	518
190	899	513
191	903	508
192	907	502
193	910	497
194	915	492
195	918	487
196	922	482
197	926	477
198	930	472
199	934	467
200	938	462
201	942	457
202	946	452
203	950	447
204	954	442
205	958	437
206	961	432
207	965	427
208	969	422
209	972	416
210	976	411
211	980	407
212	985	402
213	989	397
214	992	392
215	996	387
216	1000	382
217	1004	377
218	1008	372
219	1011	367
220	1015	362
221	1019	358
222	1023	353
223	1026	348
224	1030	343
225	1033	338
226	1037	333
227	1041	328
228	1045	324
229	1049	319
230	1053	314
231	1057	309
232	1060	304
233	1064	300
234	1068	295
235	1072	290
236	1076	286
237	1079	281
238	1083	276
239	1087	271
240	1091	267
241	1095	262
242	1099	257
243	1103	253
244	1107	248
245	1111	243
246	1115	239
247	1118	234
248	1122	229
249	1125	225
250	1129	220
251	1133	215
252	1136	211
253	1141	206
254	1145	202
255	1149	197
256	1153	192
257	1157	188
258	1161	183
259	1165	179
260	1169	174
261	1173	170
262	1177	165
263	1180	161
264	1184	156
265	1188	151
266	1192	147
267	1196	142
268	1200	138
269	1204	133
270	1208	129
271	1212	124
272	1216	120
273	1220	115
274	1224	111
275	1227	106
276	1231	102
277	1235	97
278	1239	93
279	1243	88
280	1247	84
281	1251	79
282	1254	75
283	1258	70
284	1261	66
285	1265	61
286	1269	57
287	1273	53
288	1277	48
289	1280	44
290	1284	39
291	1288	35
292	1291	30
293	1296	26
294	1300	22
295	1304	17
296	1307	13
297	1311	8
298	1315	4
299	1319	0
